Path,Folder,F1,F2,F3,F4,F5,F6
C:\Users\ASUS\Downloads,Downloads,wallpaperflare.com_wallpaper.jpg,,,,,
C:\Users\ASUS\Documents,Documents,*Codex,*My Music,*My Pictures,*My Videos,,
C:\Users\ASUS\Documents\Codex,Codex,*2026-07-04,*2026-07-05,,,,
C:\Users\ASUS\Documents\Codex\2026-07-04,04-07-2026,*first-class-with-distinction-7-75,,,,,
C:\Users\ASUS\Documents\Codex\2026-07-04\first-class-with-distinction-7-75,first-class-with-distinction-7-75,.nojekyll,index.html,README.md,*assets,*outputs,*work
C:\Users\ASUS\Documents\Codex\2026-07-04\first-class-with-distinction-7-75\assets,assets,*css,*js,,,,
C:\Users\ASUS\Documents\Codex\2026-07-04\first-class-with-distinction-7-75\assets\css,css,styles.css,,,,,
C:\Users\ASUS\Documents\Codex\2026-07-04\first-class-with-distinction-7-75\assets\js,js,main.js,portfolio-data.js,,,,
C:\Users\ASUS\Documents\Codex\2026-07-04\first-class-with-distinction-7-75\outputs,outputs,,,,,,
C:\Users\ASUS\Documents\Codex\2026-07-04\first-class-with-distinction-7-75\work,work,,,,,,
C:\Users\ASUS\Documents\Codex\2026-07-05,05-07-2026,*hero-redesign-replace-the-plain-hero,,,,,
C:\Users\ASUS\Documents\Codex\2026-07-05\hero-redesign-replace-the-plain-hero,hero-redesign-replace-the-plain-hero,*outputs,*work,,,,
C:\Users\ASUS\Documents\Codex\2026-07-05\hero-redesign-replace-the-plain-hero\outputs,outputs,,,,,,
C:\Users\ASUS\Documents\Codex\2026-07-05\hero-redesign-replace-the-plain-hero\work,work,,,,,,
X:\Alexander,Alexander,,,,,,
