ID,PARENT_ID,TYPE,TITLE,HOURS_OR_MARKS,DETAILS,STATUS_TAG
CRS404181,,COURSE,404181: Radiation & Microwave Theory,03 Hrs,,PENDING
CRS404182,,COURSE,404182: VLSI Design and Technology,03 Hrs,,PENDING
CRS404183,,COURSE,404183: Cloud Computing,03 Hrs,"404184  Elective - 3  03  -  -  30  70   -  -  -  100  03  -  -  03
404185  Elective - 4  03  -  -  30  70   -  -  -  100  03  -  -  03",PENDING
CRS404186,,COURSE,404186: Lab Practice - 1,,(RMT & Cloud Computing),PENDING
CRS404187,,COURSE,404187: Lab Practice - 2,,(VLSI Design & Elective -3),PENDING
CRS404188,,COURSE,404188: Project Stage - I,,,PENDING
CRS404189,,COURSE,404189: Mandatory Audit Course 7,,"|     |     | Total 15  | 10  | -  150 350  | 100  | 50  | 50  | 700  | -   | -  -  | -   |
| --- | --- | --------- | --- | ----------- | ---- | --- | --- | ---- | --- | ----- | --- |
Total Credits     15  05  -  20
|     | Elective - 3       |     |                  |     | Elective - 4  |     |     |     |     |     |     |
| --- | ------------------ | --- | ---------------- | --- | ------------- | --- | --- | --- | --- | --- | --- |
| 1.  | Speech Processing  |     | 1.  Data Mining  |     |               |     |     |     |     |     |     |
2.  PLC  SCADA  & Automation   2.  Electronic Product Development
| 3.  | JAVA Script      |     | 3.  Deep Learning   |     |     |     |     |     |     |     |     |
| --- | ---------------- | --- | ------------------- | --- | --- | --- | --- | --- | --- | --- | --- |
| 4.  | Embedded & RTOS  |     | 4.  Low Power CMOS  |     |     |     |     |     |     |     |     |
| 5.  | Modernized IoT   |     | 5. Smart Antennas   |     |     |     |     |     |     |     |     |
Mandatory Audit Course - 7
1.  Management Information System
2.  Patent Search & Analysis
3.  Knowledge Management
4.  Energy Economics & Policy
5.  Educational Leadership
6.  Human Resource Development
Savitribai Phule Pune University, Pune
B.E. (Electronics & Telecommunication) 2019 Course
(With effect from Academic Year 2022-23)
Semester-VIII
|         |               |     | Teaching      | Examination Scheme and  |         |      |         |       |
| ------- | ------------- | --- | ------------- | ----------------------- | ------- | ---- | ------- | ----- |
|         |               |     | Scheme        |                         | Marks   |      | Credit  |       |
|         |               |     | (Hours/Week)  |                         |         |      |         |       |
| Course  |               |     |               |                         |         |      |         |       |
|         |               |     |               | m  m                    |         |      |         |       |
| Code    | Course  Name  |     | l a l a       |                         |         |      |         |       |
|         |               |     | y             |                         | W R R   | l H  | R T     | l     |
|         |               |     | r c i r       | e e                     |         |   a  |         | a     |
|         |               |     | i t o         | S S                     | P O     | t  T | P U     |   t   |
|         |               |     | o   c t       | - -                     | T       | o    |         | o     |
|         |               |     | e a u         | n d                     |         | T    | T       | T     |
|         |               |     | h r           | I n                     |         |      |         |       |
|         |               |     | T P T         |                         |         |      |         |       |
E",PENDING
CRS404190,,COURSE,404190: Fiber Optic Communication,03 Hrs,"404191  Elective - 5  03  -  -  30  70  -  -  -  100  03  -  -  03
404192  Elective - 6  03  -  -  30  70   -  -  -  100  03  -  -  03",PENDING
CRS404193,,COURSE,404193: Innovation & Entrepreneurship,,,PENDING
CRS404194,,COURSE,404194: Digital Business Management,,,PENDING
CRS404195,,COURSE,404195: Fiber Optic Lab,,,PENDING
CRS404196,,COURSE,404196: Lab Practice - 3 (Elective - 5),,,PENDING
